page,title,description,bedrooms,bathrooms,toilets,garage,location,city,price
8,Fully Serviced Two Bedroom Apartment Available,2 bedroom flat / apartment for rent,2,2,3,2,"Mobil Road, Ilaje, Ajah, Lagos",Ajah,1500000
8,Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Off Spg, Igbo Efon, Lekki, Lagos",Lekki,1200000
8,Nice Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Royal Garden Estate, Ajah, Lagos",Ajah,1200000
8,Decent And Spacious 3 Bedroom Flat,3 bedroom flat / apartment for rent,3,2,3,0,"Alapere, Ketu, Lagos",Ketu,1500000
9,An Exquisite And Luxurious 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,3,"Ikoyi, Lagos",Ikoyi,15000000
9,Luxury Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,2,"Off Durosimi Etti, Lekki Phase 1, Lekki, Lagos",Lekki,2400000
9,Spacious 2 Bedroom Apartment,2 bedroom flat / apartment for rent,2,2,3,3,"Off Palace Way, Oniru, Victoria Island (VI), Lagos",Victoria Island,3500000
9,Luxurious Self Contained With Own Kitchen,Self contain (single rooms) for rent,0,1,1,0,"Bourdillon Court Estate, Chevron Drive, Lekki, Lagos",Lekki,750000
9,Luxury 3 Bedroom Flat With Excellent Facilities,3 bedroom flat / apartment for rent,3,3,4,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,15000000
9,Brand New 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,2,0,"Idado, Lekki, Lagos",Lekki,3000000
9,Spacious Bq Self Contained,Self contain (single rooms) for rent,0,1,1,1,"Bera Estate Chevron, Lekki Phase 2, Lekki, Lagos",Lekki,500000
9,Self Contained Big Room,Self contain (single rooms) for rent,0,1,1,0,"Ocean Bay Estate , Orchid Road, Lekki, Lagos",Lekki,600000
9,Standard 2 Bedroom Ensuite Pent House,2 bedroom flat / apartment for rent,2,2,2,0,"Lekki Phase 1, Lekki, Lagos",Lekki,3000000
