title,description,bedrooms,bathrooms,toilets,location,city,price
Premium 2 Bedroom Apartment with a Pool and a Gym,2 Bedroom Flat & Apartment,2,2,3,Ikoyi,Ikoyi,6000000
Newly Built 4 Bedroom Fully Detached Duplex,4 Bedroom Duplex,4,4,5,"4 Bedroom Fully Detached Duplex In Thomas Estate Ajah , Thomas Estate, Ajah",Ajah,5000000
Prince Ademola Osinuga Well Sized 4 Bedroom Penthouse Apartment +2 Rooms Bq @N17m!,2 Bedroom Flat & Apartment,2,4,5,"Banana Island Estate, Banana Island, Ikoyi",Ikoyi,17000001
Direct Clients Only - Fresh 4 Bedroom Semi Detached House +Bq +Tennis Etc @N17m,4 Bedroom House,4,4,5,"Banana Island Estate, Banana Island, Ikoyi",Ikoyi,17000000
4 bedroom semi detached duplex with bq,4 Bedroom Duplex,4,5,6,"Ilaje, Ajah",Ajah,2200000
5 bedroom fully-detached duplex with a room bq,5 Bedroom Duplex,5,5,6,"Osapa, Lekki",Lekki,6500000
5 Bedroom Fully Detached Duplex with bq,5 Bedroom Duplex,5,5,6,"Osapa, Lekki",Lekki,5000000
5bedroom fully detached duplex with a room BQ,5 Bedroom Duplex,5,6,7,"Osapa, Lekki",Lekki,6000000
5bedroom fully detached duplex with a room BQ,5 Bedroom Duplex,5,6,7,"Osapa, Lekki",Lekki,5000000
5 bedroom fully-detached duplex with a room bq,5 Bedroom Duplex,5,5,6,"Osapa, Lekki",Lekki,5000000
Modern 4 Bedroom Terrace Duplex.,4 Bedroom Terrace,4,4,5,"Lekki, Lekki Phase 1, Lekki",Lekki,10000000
2 bedroom flat,2 Bedroom Bungalow,2,2,3,"Ikota, Lekki",Lekki,1500000
Highly Serene Family Friendly Environment - 4 Bedroom Penthouse Apartment On 2 Floors +Tennis Squash Gym Pool Etc @N28m!,4 Bedroom Flat & Apartment,4,4,5,Ikoyi,Ikoyi,28000001
Corporate Lease - Available 6 Nos 3 Bedroom Apartment + Bq +Pool Etc In Parkview @N30m For All,3 Bedroom Flat & Apartment,3,3,4,"Parkview, Parkview Estate, Ikoyi",Ikoyi,30000001
4bedroom semi detached duplex with a room BQ,4 Bedroom Duplex,4,5,6,Ajah,Ajah,2200000
4 bedroom luxury apartment with BQ,4 Bedroom Flat & Apartment,4,4,5,"Off Kingsway Road, Ikoyi",Ikoyi,8000000
Brand new 5 bedroom detached duplex,5 Bedroom Duplex,5,5,6,"Omole Phase 1, Omole, Ikeja",Ikeja,6000000
